Candidate_ID,Gender,Age,Education_Level,University_Type,Experience_Years,Application_Channel,Region,Role_Applied,Ticketing_Tool,Language_Proficiency,Live_Chat_Experience_Months,CSAT_Prior,Typing_Speed_WPM,Night_Shifts,Manager_Score,Interview_Sentiment,Stage_Reached,Offer_Result,Time_to_Hire_Days,Salary_Expectation_USD,Bias_Flag
CTR3J8LTS,Female,37,Bachelor,Public,2.6,Referral,North America,Customer Support Agent,Zendesk,C2,15,86.5,37,Yes,2.5,0.38,Offer,Hired,28.0,1202,No
C4PKAN3A6,Male,41,Bachelor,Public,4.1,Career Site,Caribbean,Customer Support Agent,Salesforce,C1,39,84.7,62,Yes,2.5,1.01,Offer,Hired,26.0,1154,No
CTFKTLDXY,Female,54,Bachelor,Public,2.1,Career Site,Europe,Senior Support Agent,Salesforce,C1,17,83.0,60,No,4.0,0.01,Offer,Not Hired,,2022,Yes
CEKIX0071,Male,35,High School,Public,4.2,Career Site,Caribbean,Senior Support Agent,Zendesk,C1,32,84.5,68,No,4.9,-0.08,Offer,Hired,32.0,1555,No
CLDW69IIB,Female,41,PhD,Public,0.0,LinkedIn,Andean,Customer Support Agent,Freshdesk,B2,8,77.1,52,Yes,2.9,-0.0,Offer,Hired,34.0,999,No
CFTTNL3Q3,Male,53,Bachelor,Public,5.6,LinkedIn,Europe,Customer Support Agent,Salesforce,B2,34,83.8,38,No,3.5,-0.72,Offer,Not Hired,,1271,No
C8LH8WKWS,Female,32,Bachelor,Private,4.6,Referral,Andean,Customer Support Agent,Zendesk,B1,44,100.0,27,No,3.5,0.82,Offer,Not Hired,,1127,Yes
C6J97GFTB,Non-binary,50,Bachelor,Private,3.7,LinkedIn,Pacific,Senior Support Agent,Intercom,B1,24,91.6,89,No,4.0,0.5,Offer,Hired,21.0,1637,No
CKP89F6D0,Male,38,Bachelor,Private,2.8,Career Site,Caribbean,Customer Support Agent,Zendesk,B2,24,79.9,61,Yes,4.9,0.64,Offer,Hired,32.0,1405,No
C46I6ESQL,Female,51,Bachelor,Public,1.5,LinkedIn,Europe,Customer Support Agent,Zendesk,B2,8,77.9,57,Yes,4.4,0.19,Offer,Not Hired,,1195,Yes
CA1MXON5D,Female,36,PhD,Public,5.7,Job Board,Pacific,Senior Support Agent,Salesforce,C1,40,59.5,58,No,3.1,0.08,Offer,Not Hired,,1651,No
C00NJA78I,Female,42,Bachelor,Private,0.8,Career Site,North America,Customer Support Agent,Zendesk,B2,14,90.7,38,Yes,3.7,1.31,Offer,Not Hired,,987,Yes
CBEC36F0G,Female,30,Bachelor,Public,5.1,Recruiting Agency,Europe,Customer Support Agent,Salesforce,C1,52,88.8,45,No,3.7,1.17,Offer,Hired,32.0,1319,No
CNVZ5BHKL,Male,42,Bachelor,Public,9.2,Job Board,North America,Customer Support Agent,Freshdesk,C1,72,78.4,76,No,3.3,1.52,Offer,Not Hired,,1134,No
C91L8RSPF,Non-binary,31,Bachelor,Private,7.7,Career Site,APAC,Senior Support Agent,Freshdesk,C2,64,71.2,63,No,2.5,0.59,Offer,Not Hired,,1706,No
C7AGIKEAY,Male,41,High School,Private,0.0,LinkedIn,Europe,Customer Support Agent,Zendesk,B2,0,72.8,46,No,2.7,1.47,Offer,Not Hired,,1212,No
C8EKS7Y1U,Male,48,Bachelor,Public,2.4,Referral,Pacific,Senior Support Agent,Zendesk,C2,30,85.9,40,No,4.1,-0.12,Offer,Not Hired,,1924,No
CPH52AZD0,Female,35,Bootcamp,Public,4.9,LinkedIn,APAC,Customer Support Agent,Salesforce,C1,27,81.6,49,No,4.2,0.07,Offer,Not Hired,,1191,Yes
C3EPEU7CO,Male,34,Bachelor,Public,3.6,Recruiting Agency,North America,Customer Support Agent,Intercom,B1,31,87.8,51,No,3.2,1.33,Offer,Hired,41.0,1246,No
C9KERSXL8,Male,30,Master,Private,0.2,Career Site,Andean,Customer Support Agent,Salesforce,B2,0,82.7,80,Yes,3.5,1.01,Offer,Hired,30.0,1174,No
CSK87RAVT,Female,46,Bachelor,Public,4.8,LinkedIn,Andean,Senior Support Agent,Zendesk,B2,24,90.0,53,No,4.1,-0.01,Offer,Not Hired,,1841,No
CFW4D0F0P,Non-binary,40,Bachelor,Private,3.8,LinkedIn,North America,Customer Support Agent,Zendesk,C1,28,85.2,41,No,2.1,-0.69,Offer,Not Hired,,979,No
CA8FVG702,Female,38,Bachelor,Public,8.8,Referral,Andean,Customer Support Agent,Zendesk,B2,81,89.4,54,No,3.0,0.07,Offer,Not Hired,,1399,No
CPQW24AXD,Male,19,Bootcamp,Public,3.1,LinkedIn,North America,Senior Support Agent,Salesforce,B2,21,65.5,58,Yes,4.7,-0.37,Offer,Hired,28.0,1385,No
CK3J2QIMT,Non-binary,23,Master,Private,6.8,Career Site,Caribbean,Customer Support Agent,Zendesk,C1,59,72.7,40,Yes,3.5,1.8,Offer,Hired,31.0,1151,No
C1V751VKO,Male,19,Bachelor,Private,0.5,LinkedIn,North America,Customer Support Agent,Freshdesk,B2,11,79.2,60,No,2.5,0.93,Offer,Hired,18.0,879,No
CEN7PEX85,Female,50,Bootcamp,Private,1.1,Job Board,Andean,Senior Support Agent,Freshdesk,B2,9,90.7,70,Yes,3.4,-0.44,Offer,Not Hired,,1675,No
CJQTIJI90,Male,50,Bootcamp,Public,5.7,Job Board,Europe,Senior Support Agent,Zendesk,C1,46,97.5,57,No,4.0,-0.69,Offer,Hired,29.0,1554,No
C438D5CRV,Female,21,Master,Public,6.6,Referral,Caribbean,Senior Support Agent,Intercom,C2,43,81.1,45,Yes,1.5,-0.45,Offer,Not Hired,,1735,No
CMFG3LL7F,Male,20,Bachelor,Private,1.3,LinkedIn,Andean,Customer Support Agent,Intercom,C1,6,77.2,49,Yes,3.4,-0.25,Offer,Not Hired,,1156,No
C67VFFKUF,Female,47,Bachelor,Private,3.9,Recruiting Agency,Pacific,Customer Support Agent,Other,B2,37,66.7,35,Yes,3.0,0.1,Offer,Not Hired,,942,No
CQETAZBHG,Male,38,Bootcamp,Private,0.2,Job Board,Pacific,Senior Support Agent,Zendesk,B1,2,88.9,53,No,2.2,1.25,Offer,Not Hired,,1692,No
C3BPVSY2O,Non-binary,30,Bootcamp,Public,3.3,Referral,North America,Customer Support Agent,Freshdesk,B2,29,77.9,59,Yes,3.4,-0.62,Offer,Not Hired,,1330,No
C3L9S0524,Female,41,Master,Private,6.0,Referral,North America,Senior Support Agent,Zendesk,B2,49,100.0,44,No,3.2,2.0,Offer,Hired,28.0,1365,No
CTBRG6III,Female,27,Bootcamp,Public,2.7,Career Site,Andean,Customer Support Agent,Salesforce,B2,35,76.4,78,No,3.3,-0.6,Offer,Not Hired,,959,No
CXU8OKBAN,Male,26,High School,Public,3.2,Career Site,Europe,Senior Support Agent,Intercom,C2,23,99.1,65,No,3.1,-1.02,Offer,Not Hired,,1919,No
C7S6DD4DB,Female,32,Bachelor,Public,0.9,Career Site,Pacific,Customer Support Agent,Zendesk,C1,17,88.2,33,Yes,2.6,1.77,Offer,Not Hired,,1113,No
CO7YD4426,Female,52,Master,Public,2.1,Job Board,Andean,Customer Support Agent,Salesforce,B2,18,74.0,34,Yes,2.3,1.44,Offer,Not Hired,,1125,No
CI9L2U2WX,Female,47,Bachelor,Public,8.4,Career Site,Europe,Customer Support Agent,Freshdesk,B2,77,84.6,43,No,2.8,0.09,Offer,Not Hired,,1269,No
CW20E3TLS,Female,26,Bootcamp,Public,4.0,LinkedIn,North America,Customer Support Agent,Zendesk,B2,25,88.4,74,Yes,3.9,0.59,Offer,Hired,32.0,969,No
C844Q2NYX,Male,39,PhD,Private,1.2,Job Board,North America,Customer Support Agent,Freshdesk,B2,11,80.3,66,Yes,3.5,0.62,Offer,Hired,27.0,1014,No
CIJCFPRFP,Male,51,Bachelor,Private,3.0,Referral,Pacific,Senior Support Agent,Zendesk,C1,22,88.9,74,No,3.3,0.37,Offer,Hired,21.0,1536,No
CVIMNSN0L,Female,54,Master,Public,0.0,Job Board,Pacific,Customer Support Agent,Salesforce,B1,1,88.5,55,Yes,2.6,-0.92,Offer,Not Hired,,1043,No
CPNGYIK28,Male,47,Master,Private,1.2,Recruiting Agency,North America,Customer Support Agent,Intercom,C1,17,86.9,52,Yes,3.0,-1.98,Offer,Not Hired,,1321,No
CY64R1LQT,Female,23,Bachelor,Public,7.3,Recruiting Agency,Andean,Customer Support Agent,Salesforce,B1,61,82.5,40,No,3.8,-0.51,Offer,Not Hired,,819,No
C84RXH2TT,Female,27,Bachelor,Public,3.4,Referral,Caribbean,Senior Support Agent,Salesforce,B2,35,73.0,59,Yes,3.7,1.88,Offer,Hired,32.0,1395,No
C1WCKG0BH,Male,27,Bachelor,Private,8.7,Job Board,APAC,Customer Support Agent,Salesforce,C2,66,82.0,53,Yes,3.0,1.92,Offer,Not Hired,,875,No
CVZS47E8W,Female,24,Master,Public,3.6,Career Site,North America,Customer Support Agent,Zendesk,B1,24,83.6,52,Yes,1.5,0.01,Offer,Not Hired,,1331,No
CWDW0UDS7,Male,25,Master,Public,3.7,Recruiting Agency,Pacific,Team Lead,Zendesk,B1,30,67.3,74,No,2.8,-0.61,Offer,Not Hired,,2179,No
C0E88G2OV,Non-binary,30,Master,Private,5.5,Job Board,Andean,Customer Support Agent,Zendesk,C1,44,83.8,53,No,3.0,0.5,Offer,Hired,42.0,1046,No
CQ29278DJ,Male,39,Bachelor,Public,0.0,LinkedIn,North America,Customer Support Agent,Salesforce,B2,0,81.2,71,No,2.7,0.65,Offer,Not Hired,,834,No
CZVBDSWGG,Male,33,Bachelor,Public,4.3,Referral,Andean,Team Lead,Salesforce,B1,29,71.9,36,No,3.0,0.79,Offer,Not Hired,,2306,No
CEUAURQYS,Female,34,Bachelor,Private,3.7,Career Site,Andean,Customer Support Agent,Salesforce,B1,37,79.7,87,Yes,3.9,-2.0,Offer,Hired,17.0,1243,No
C0172SRIV,Female,28,Bachelor,Private,7.7,Job Board,Andean,Team Lead,Zendesk,B1,59,80.1,51,No,3.3,2.0,Offer,Not Hired,,2491,No
CF74E2EZD,Female,24,Bachelor,Public,6.3,Job Board,North America,Senior Support Agent,Zendesk,B2,59,98.0,63,Yes,4.0,1.27,Offer,Not Hired,,1672,Yes
CRX0P71HY,Male,55,Master,Private,0.9,Job Board,North America,Customer Support Agent,Salesforce,B2,7,83.8,65,No,2.2,0.07,Offer,Not Hired,,842,No
C0M0631WJ,Male,41,Bachelor,Public,7.0,Referral,Andean,Customer Support Agent,Zendesk,C1,60,90.9,49,No,3.1,-0.4,Offer,Not Hired,,1046,No
C2NTLLF8F,Female,27,High School,Public,3.1,Referral,Andean,Customer Support Agent,Freshdesk,C1,28,81.3,65,Yes,1.9,1.14,Offer,Not Hired,,1124,No
CD7TP0NE0,Female,48,Bachelor,Public,1.4,Career Site,North America,Customer Support Agent,Zendesk,B1,6,67.1,65,No,3.0,0.7,Offer,Not Hired,,936,No
CGT87M2WR,Female,49,Bachelor,Public,4.3,LinkedIn,North America,Customer Support Agent,Zendesk,B2,37,87.7,46,No,2.6,0.33,Offer,Not Hired,,1208,No
CFNX9AZ48,Male,54,Master,Private,3.3,Job Board,North America,Customer Support Agent,Intercom,B1,38,77.1,47,Yes,4.2,0.66,Offer,Not Hired,,1246,No
CPEJ45WEE,Male,24,Bachelor,Private,7.8,Job Board,Andean,Customer Support Agent,Other,B2,64,80.0,56,No,3.6,0.15,Offer,Not Hired,,1013,No
CRVBYTADQ,Male,42,Bachelor,Public,4.7,Career Site,North America,Senior Support Agent,Salesforce,B2,43,74.0,54,No,4.0,0.61,Offer,Not Hired,,1885,No
C03PK8QLP,Non-binary,55,Bachelor,Public,4.3,Referral,APAC,Customer Support Agent,Freshdesk,C1,39,83.0,72,Yes,3.0,0.9,Offer,Not Hired,,1082,No
CAKS702TD,Female,48,Bachelor,Public,6.1,Job Board,North America,Senior Support Agent,Zendesk,B2,51,91.0,63,Yes,2.6,0.56,Offer,Not Hired,,1993,No
CO9B5YK24,Male,27,High School,Private,6.6,LinkedIn,Andean,Team Lead,Salesforce,B2,54,90.0,54,No,2.6,0.51,Offer,Not Hired,,3132,No
CBDX9AXEX,Male,52,Master,Public,5.8,LinkedIn,North America,Senior Support Agent,Freshdesk,C1,50,95.2,62,Yes,3.5,1.5,Offer,Hired,18.0,1421,No
CWDY65BII,Female,34,Master,Private,7.5,Referral,Caribbean,Senior Support Agent,Freshdesk,C1,65,96.5,30,Yes,4.6,-1.19,Offer,Not Hired,,1896,Yes
CQF413HA6,Non-binary,37,Bachelor,Public,5.4,LinkedIn,Andean,Senior Support Agent,Intercom,B2,35,66.0,48,No,3.6,-0.47,Offer,Not Hired,,2033,No
CKX6BAAFB,Female,39,Bachelor,Public,4.2,Career Site,Caribbean,Customer Support Agent,Zendesk,B2,35,72.8,58,No,3.0,0.27,Offer,Not Hired,,940,No
C3V928IK4,Male,47,High School,Private,7.0,Career Site,APAC,Customer Support Agent,Zendesk,C2,55,68.1,68,Yes,3.2,-0.41,Offer,Not Hired,,1005,No
CICY287E1,Male,23,Bachelor,Private,3.6,LinkedIn,Pacific,Team Lead,Salesforce,B2,26,87.3,57,Yes,3.3,-0.11,Offer,Not Hired,,2189,No
C4Z34QBQH,Non-binary,38,Bachelor,Public,3.9,Career Site,Europe,Senior Support Agent,Intercom,C1,39,76.8,72,No,4.7,1.41,Offer,Hired,14.0,1666,No
CEEZST0TW,Male,49,Master,Public,8.3,Referral,North America,Senior Support Agent,Zendesk,C1,62,78.7,65,Yes,4.2,0.12,Offer,Not Hired,,1609,No
CD4QF30BG,Female,39,High School,Private,8.0,Job Board,North America,Team Lead,Zendesk,B2,56,80.8,49,No,3.5,-1.4,Offer,Not Hired,,2329,No
CAJDZS90W,Male,29,Master,Private,3.8,Career Site,Andean,Customer Support Agent,Other,B2,35,85.4,53,No,3.4,-0.13,Offer,Hired,31.0,1238,No
CSBCWABH5,Male,21,Bachelor,Private,2.6,Job Board,North America,Customer Support Agent,Intercom,B1,12,70.2,60,Yes,3.5,0.3,Offer,Not Hired,,787,No
CQZOGND1G,Male,39,Bachelor,Private,7.6,LinkedIn,Andean,Customer Support Agent,Intercom,B2,49,72.4,50,No,3.6,0.29,Offer,Not Hired,,939,No
CN9VQT2JW,Male,45,Bachelor,Private,5.9,LinkedIn,Pacific,Customer Support Agent,Zendesk,B2,53,82.5,73,No,3.0,0.75,Offer,Hired,23.0,1211,No
C5UQFI8TK,Female,39,Bachelor,Public,4.6,Referral,Andean,Customer Support Agent,Other,C1,38,92.0,42,No,2.7,0.68,Offer,Not Hired,,1191,No
CPUTZJXP7,Male,55,Bachelor,Public,3.0,Career Site,Pacific,Senior Support Agent,Salesforce,C1,27,82.1,59,Yes,4.0,0.13,Offer,Hired,18.0,1430,No
CFFQSYO6R,Male,41,Master,Public,4.7,Job Board,North America,Customer Support Agent,Freshdesk,C2,35,76.0,64,Yes,3.3,-0.82,Offer,Hired,33.0,1192,No
CEE9E8KDK,Female,37,Bachelor,Private,3.7,Referral,Andean,Customer Support Agent,Zendesk,C2,21,65.0,51,No,4.0,-0.15,Offer,Not Hired,,1319,No
CWP2VOW8O,Male,21,High School,Public,2.1,LinkedIn,Caribbean,Senior Support Agent,Intercom,C1,10,89.7,49,No,4.5,-0.31,Offer,Not Hired,,1687,Yes
CFO4H8VVL,Non-binary,39,Bachelor,Public,4.1,Career Site,APAC,Customer Support Agent,Salesforce,B1,31,76.4,54,No,3.7,-0.01,Offer,Not Hired,,934,No
C7BKPRRFI,Male,25,Bachelor,Private,4.5,Referral,Andean,Senior Support Agent,Salesforce,B2,28,73.1,65,Yes,3.6,0.87,Offer,Hired,12.0,1923,No
CDUMUVZTX,Male,45,Bachelor,Public,2.8,Job Board,Caribbean,Customer Support Agent,Other,C1,24,68.5,49,Yes,5.0,0.61,Offer,Not Hired,,1384,Yes
CVXWLI2MT,Female,24,Bachelor,Private,6.1,Job Board,Caribbean,Senior Support Agent,Intercom,C1,46,70.9,42,Yes,3.4,0.99,Offer,Not Hired,,1474,No
CHPTWSM8S,Prefer_not_to_say,52,High School,Public,7.2,LinkedIn,Caribbean,Customer Support Agent,Zendesk,B1,59,74.9,69,No,2.5,-0.1,Offer,Not Hired,,1106,No
C30U5E74S,Female,30,Bachelor,Private,6.3,LinkedIn,North America,Customer Support Agent,Freshdesk,C1,51,80.6,60,No,3.1,1.61,Offer,Hired,27.0,1280,No
C0SJ2ILS4,Male,35,Master,Private,3.1,Referral,Andean,Customer Support Agent,Salesforce,B2,27,72.6,67,No,4.4,0.86,Offer,Hired,20.0,1119,No
CNRBECC54,Male,24,Master,Public,5.8,Referral,Pacific,Customer Support Agent,Zendesk,B2,49,84.0,64,Yes,2.4,0.35,Offer,Not Hired,,812,No
C3CCKUMRG,Male,26,High School,Public,4.0,Job Board,North America,Customer Support Agent,Zendesk,C1,30,80.3,81,No,2.8,0.79,Offer,Not Hired,,1173,No
C0LC06AP3,Non-binary,53,Bachelor,Public,0.6,Career Site,Caribbean,Senior Support Agent,Intercom,B2,6,99.8,68,Yes,4.1,-0.36,Offer,Hired,31.0,1450,No
CZ4ONZFIV,Male,29,Bachelor,Private,5.5,LinkedIn,APAC,Senior Support Agent,Zendesk,B2,45,68.8,46,Yes,3.1,-1.65,Offer,Not Hired,,1376,No
CYESNS8C9,Male,37,Bootcamp,Private,4.2,Job Board,APAC,Customer Support Agent,Salesforce,B2,19,83.5,61,No,3.2,-0.3,Offer,Not Hired,,815,No
CQ1PL1YFZ,Female,55,Bachelor,Public,10.5,LinkedIn,Andean,Senior Support Agent,Zendesk,B2,88,84.3,48,Yes,4.1,0.92,Offer,Not Hired,,2004,Yes
C1N7XMAYH,Male,42,High School,Public,7.6,LinkedIn,Caribbean,Senior Support Agent,Zendesk,B2,62,74.4,50,No,2.8,0.32,Offer,Not Hired,,1487,No
C1SQFZFP4,Male,20,Bootcamp,Private,5.6,Job Board,Andean,Senior Support Agent,Zendesk,C1,48,83.2,38,No,2.3,0.13,Offer,Not Hired,,1785,No
C798UH429,Female,32,Bachelor,Public,4.4,Job Board,Andean,Customer Support Agent,Intercom,B2,27,88.4,52,Yes,2.3,-0.51,Offer,Not Hired,,1196,No
CXFSQ4OLC,Male,33,Bachelor,Private,4.2,Job Board,Pacific,Customer Support Agent,Salesforce,C1,32,83.1,62,Yes,3.7,-1.51,Offer,Not Hired,,1127,No
C41BPRQ7F,Male,29,Master,Public,1.2,LinkedIn,North America,Team Lead,Freshdesk,B1,3,93.1,54,Yes,3.5,1.53,Offer,Not Hired,,2507,No
CLGI67BWI,Male,27,High School,Public,0.0,Job Board,Pacific,Customer Support Agent,Freshdesk,C2,4,64.6,42,No,2.8,0.06,Offer,Not Hired,,1163,No
CGKGR9V0R,Male,37,Bachelor,Public,1.5,Referral,Andean,Customer Support Agent,Zendesk,C1,4,75.3,37,Yes,2.5,-0.14,Offer,Not Hired,,1123,No
CADJI444W,Female,32,Bachelor,Public,3.7,Recruiting Agency,Andean,Senior Support Agent,Intercom,B2,24,94.0,80,Yes,3.1,-0.35,Offer,Not Hired,,1506,No
CUXOY21WC,Male,29,Master,Private,0.0,Job Board,APAC,Customer Support Agent,Other,B2,3,89.3,59,Yes,4.1,1.38,Offer,Hired,26.0,960,No
C0N0T5M74,Female,34,Master,Private,2.4,Career Site,APAC,Senior Support Agent,Salesforce,B2,15,86.5,45,No,2.7,1.04,Offer,Not Hired,,1673,No
CLRT1Y4NS,Female,31,Bachelor,Private,3.2,LinkedIn,Andean,Customer Support Agent,Zendesk,C1,20,92.1,61,Yes,2.8,-0.62,Offer,Not Hired,,1079,No
CP6KVE4NM,Male,27,Bachelor,Private,3.2,Referral,North America,Senior Support Agent,Intercom,C1,31,67.0,81,Yes,2.5,1.3,Offer,Not Hired,,1809,No
CUR4TSDAO,Female,35,Bachelor,Private,2.1,Job Board,Pacific,Team Lead,Zendesk,C1,22,88.6,62,Yes,3.0,0.12,Offer,Not Hired,,2797,No
C97WWOGAM,Female,53,Bachelor,Private,2.9,Referral,North America,Team Lead,Zendesk,C2,28,90.8,22,Yes,3.5,-0.3,Offer,Not Hired,,2524,No
CLGJAV7YQ,Male,37,High School,Private,8.3,Job Board,North America,Senior Support Agent,Zendesk,B2,71,77.4,87,Yes,4.8,-0.01,Offer,Hired,25.0,1493,No
CPLFVUAOK,Female,41,Bachelor,Private,5.5,Referral,Europe,Senior Support Agent,Zendesk,C1,43,100.0,33,Yes,3.5,-0.45,Offer,Not Hired,,1144,No
CGZSWZ92W,Female,55,Bootcamp,Private,2.3,Recruiting Agency,Andean,Customer Support Agent,Zendesk,B2,17,83.7,53,No,3.3,-0.94,Offer,Hired,34.0,973,No
C5R91X6SZ,Female,41,Master,Public,3.6,LinkedIn,Caribbean,Team Lead,Salesforce,C1,25,64.7,41,Yes,3.9,0.95,Offer,Not Hired,,1916,Yes
